,1
a,0
b,0
c,0
aa,1
ab,1
ac,1
ba,1
bb,1
bc,1
ca,1
cb,1
cc,1
aaa,0
aab,0
aac,0
aba,0
abb,0
abc,0
aca,0
acb,0
acc,0
baa,0
bab,0
bac,0
bba,0
bbb,0
bbc,0
bca,0
bcb,0
bcc,0
caa,0
cab,0
cac,0
cba,0
cbb,0
cbc,0
cca,0
ccb,0
ccc,0
aaaa,1
aaab,1
aaac,1
aaba,1
aabb,1
aabc,1
aaca,1
aacb,1
aacc,1
abaa,1
abab,1
abac,1
abba,1
abbb,1
abbc,1
abca,1
abcb,1
abcc,1
acaa,1
acab,1
acac,1
acba,1
acbb,1
acbc,1
acca,1
accb,1
accc,1
baaa,1
baab,1
baac,1
baba,1
babb,1
babc,1
baca,1
bacb,1
bacc,1
bbaa,1
bbab,1
bbac,1
bbba,1
bbbb,1
bbbc,1
bbca,1
bbcb,1
bbcc,1
bcaa,1
bcab,1
bcac,1
bcba,1
bcbb,1
bcbc,1
bcca,1
bccb,1
bccc,1
caaa,1
caab,1
caac,1
caba,1
cabb,1
cabc,1
caca,1
cacb,1
cacc,1
cbaa,1
cbab,1
cbac,1
cbba,1
cbbb,1
cbbc,1
cbca,1
cbcb,1
cbcc,1
ccaa,1
ccab,1
ccac,1
ccba,1
ccbb,1
ccbc,1
ccca,1
cccb,1
cccc,1
abcacbbcccb,0
baabbcbcabba,1
cabaaaca,1
cbabaaacacbabcba,1
aabcbaabcabacb,1
acabccbba,0
cccab,1
bbbaab,1
acbacccbaacbaab,1
abcbaacccbabb,0
accaabc,0
acabbbb,0
cbbacacaaaaaccbbbbb,0
caacbbbbaacacaac,1
bcaabcc,0
bbccbbcaabaaacbbcb,1
abccbca,0
cbabcacacbaaaaabcaac,1
acabacaac,0
ccaaaccacbcccb,1
acacccbbc,0
bcbbbaaabcabbbcc,1
bccba,1
aaacaaccbccaacbab,0
cbbcaaab,1
abacbccabbcacaaa,1
baaacabbbacccbcacb,1
ccaaab,1
accbacba,1
accacacbcbbcacbbbabb,1
cbbcccbbacaaa,0
acabaaccbccaabbcca,1
cbbbcbbcaca,0
bcccbbbaabaaabca,1
bacacaaaacacbaac,1
acbbbbaababcabaaab,1
cacaaaacabbbcc,1
baaaaccaccbcabc,1
cbaccbbbcacbbbba,1
abcabacc,1
baaabcacabaab,0
bcccaacabbaabbb,1
bbcbbacaacbaa,0
cbccbcbbabccacccbbc,0
babaacc,0
aaaccccbabbacbb,1
cabcbcabbabacaa,1
